disorder_key,disorder,folds,dedup_removed,n_total_dedup,f1_fold_mean,f1_fold_std,auc_fold_mean,auc_fold_std,oof_f1,oof_f1_ci_lo,oof_f1_ci_hi,oof_auc,oof_accuracy,oof_precision,oof_recall,TP,FP,FN,TN,tau_fold_values
anger,Anger/IED (d1),4,7,297,0.9189,0.0331,0.978,0.0178,0.9191,0.8856,0.9495,0.9784,0.9192,0.9204,0.9192,133,8,16,140,0.9841;0.1101;0.5879;0.9876
anxiety,Anxiety (d2),4,40,263,0.7472,0.0769,0.8491,0.0723,0.7523,0.6983,0.8059,0.8369,0.7529,0.7554,0.7529,93,26,39,105,0.3738;0.8393;0.7195;0.8014
depression,Depression (d3),4,9,404,0.7912,0.0769,0.9056,0.0395,0.797,0.7551,0.8366,0.8981,0.797,0.797,0.797,163,42,40,159,0.9670;0.9828;0.0914;0.6736
npd,NPD (d4),4,4,309,0.9677,0.0307,0.996,0.0047,0.9676,0.945,0.987,0.9959,0.9676,0.9689,0.9676,147,1,9,152,0.9847;0.4690;0.6203;0.9910
panic,Panic (d5),4,1,221,0.8592,0.0478,0.9678,0.024,0.8597,0.81,0.9049,0.9611,0.8597,0.8599,0.8597,98,17,14,92,0.3789;0.8651;0.7500;0.9598
